target,split,model,fold,n_train,n_test,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2
state_warm_median_s,cap_held_out,ridge,2,36,12,0.02157765281191862,0.025789845110759005,0.9290125624909041,0.02546189361124007,0.03173504439712223,0.9192191068655382
state_warm_median_s,cap_held_out,hgb,2,36,12,0.08704536139479269,0.09762998581354325,-0.017303372127623007,0.09967237816636043,0.11339533087812548,-0.031384915262267166
state_warm_median_s,cap_held_out,median_log,3,36,12,0.08205772464158424,0.09683931286539953,-0.048473800054664506,0.09386020691636077,0.1131823939124858,-0.06764870876191975
state_warm_median_s,cap_held_out,ridge,3,36,12,0.013507205862513074,0.018746326035681028,0.9607095940386198,0.016206340153169217,0.023781404191369725,0.9528647714884401
state_warm_median_s,cap_held_out,hgb,3,36,12,0.08205772464158424,0.09479673668078824,-0.0047105408833594264,0.09386020691636077,0.11024537130998478,-0.012957810218942711
state_warm_median_s,width_held_out,median_log,0,32,16,0.06146310807307827,0.07183215255309493,-0.0993694106509937,0.0680253373822829,0.07913092094236954,-0.07953327891149264
state_warm_median_s,width_held_out,ridge,0,32,16,0.01203173340817458,0.0165155166696826,0.9418847358206833,0.011643962206014803,0.017157897598001504,0.9492458291049646
state_warm_median_s,width_held_out,hgb,0,32,16,0.0636981066372837,0.07619190812730593,-0.23686866483543745,0.07056295247336407,0.0837324677981657,-0.20873577687433853
state_warm_median_s,width_held_out,median_log,1,32,16,0.0792454944965749,0.08866994368713489,-0.029344751628097576,0.08964280449981744,0.10156940297089088,-0.04495819505577603
state_warm_median_s,width_held_out,ridge,1,32,16,0.013168582571898728,0.016335219317094814,0.9650652267610349,0.015458800060016285,0.0196386196054717,0.9609343519544001
state_warm_median_s,width_held_out,hgb,1,32,16,0.0792454944965749,0.08740932325770807,-0.00028442096251346527,0.08964280449981743,0.0993961249299506,-0.0007187187733450617
state_warm_median_s,width_held_out,median_log,2,32,16,0.09487188757123127,0.11556631348364635,-0.20126263920787535,0.11015575568717395,0.13705947650980121,-0.23507684348130176
state_warm_median_s,width_held_out,ridge,2,32,16,0.053469435623747646,0.05998543011207402,0.6763564134993141,0.05664665279304454,0.07054687662866306,0.6727863418824265
state_warm_median_s,width_held_out,hgb,2,32,16,0.09487188757123127,0.111041181321058,-0.10903077467928801,0.11015575568717395,0.13161426910543964,-0.13889003873140293
sample_warm_median_s,grouped_circuit,median_log,0,36,12,0.10322133464013027,0.11660004970355468,-0.0035273419975117015,0.12304504701429737,0.13795477140132661,-3.6134207153093456e-06
sample_warm_median_s,grouped_circuit,ridge,0,36,12,0.0300403548096824,0.031207744091880936,0.9281119851931539,0.03559943052561081,0.03659411962097141,0.9296359668914268
sample_warm_median_s,grouped_circuit,hgb,0,36,12,0.09916319520458676,0.12052003050024739,-0.07213680359997676,0.11808838520520533,0.1411792573460112,-0.04729710622806893
sample_warm_median_s,grouped_circuit,median_log,1,36,12,0.16676276941542054,0.170914913242486,-0.040036520068015724,0.20537019038921933,0.2132931642654004,-0.012070735432930357
sample_warm_median_s,grouped_circuit,ridge,1,36,12,0.012012154245617657,0.013695562362302571,0.9933219692993489,0.01459032092837692,0.01708599073260511,0.9935056255441208
sample_warm_median_s,grouped_circuit,hgb,1,36,12,0.16781664912948305,0.1715632466333054,-0.047941848951954746,0.2066728577503957,0.21375525727642983,-0.016460725259977327
sample_warm_median_s,grouped_circuit,median_log,2,40,8,0.08867467508594853,0.10629747579300439,-2.2885041222824234,0.1035748162644547,0.12330643482748306,-2.396332199272848
sample_warm_median_s,grouped_circuit,ridge,2,40,8,0.0096311184513218,0.012357279009217464,0.9555575295412819,0.011438823956569937,0.01481080409284768,0.9510000140951131
sample_warm_median_s,grouped_circuit,hgb,2,40,8,0.08994211711292836,0.10252668183567332,-2.05932976184909,0.11215383455526706,0.13087166706988854,-2.825867713444655
sample_warm_median_s,grouped_circuit,median_log,3,40,8,0.16161080262814798,0.19726367538561662,-0.45832319471853933,0.22111999499975354,0.27572817534825506,-0.5135633664872732
sample_warm_median_s,grouped_circuit,ridge,3,40,8,0.01858281129670673,0.02343988823184753,0.9794093235117022,0.02766636759390925,0.03555885071641093,0.974827071297379
sample_warm_median_s,grouped_circuit,hgb,3,40,8,0.16161080262814795,0.16363296121747967,-0.003462440909223208,0.22111999499975354,0.2263203965642287,-0.01973119432457371
sample_warm_median_s,grouped_circuit,median_log,4,40,8,0.09344603977888946,0.09556021189298872,-21.85270947915128,0.11510774874785594,0.11787357329227637,-20.561906913015783
sample_warm_median_s,grouped_circuit,ridge,4,40,8,0.018504580490630577,0.021348568207495228,-0.14056751247326216,0.023695448756873013,0.027321119057050307,-0.15838049451827318
sample_warm_median_s,grouped_circuit,hgb,4,40,8,0.14511433151481362,0.14983746335493342,-55.18550836310222,0.17354364156302945,0.17876099989315133,-48.590652057604
sample_warm_median_s,family_held_out,median_log,0,36,12,0.1353456315842134,0.15087689443875746,-1.047091074368225,0.15449030255620916,0.17072418097873715,-0.9737133295786724
sample_warm_median_s,family_held_out,ridge,0,36,12,0.10365019176612178,0.10513161626299734,0.006064105855890012,0.12194544931396377,0.12448035524691564,-0.04929024750900157
sample_warm_median_s,family_held_out,hgb,0,36,12,0.1446631017987444,0.17198154301853846,-1.659839152545222,0.16615135384367266,0.19687681713535474,-1.624721069530867
