status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,20,64,140,60,42,complex64,16,42,0.03393949999963297,27192.0,64.0,1,0.0005357760190963745,0.00034851199388504026,0.0003436160087585449,0.00035606399178504943,8.925505972001702e-05,-6.318399391602725e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,20,64,140,60,42,complex128,16,42,0.035330597999745805,26744.0,64.0,1,0.0013378880023956299,0.0011763520240783692,0.0011743680238723755,0.001180735945701599,8.925505676631379e-05,-6.318419110442887e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,8,24,156,28,42,complex64,16,42,0.025610566000068502,15592.0,128.0,1,0.0005287039875984192,0.00033113598823547363,0.00032956799864768984,0.00034012800455093383,-0.03365489840507507,0.016231447458267212,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,8,24,156,28,42,complex128,16,42,0.024815826999656565,15592.0,128.0,1,0.0012631679773330688,0.0011181440353393555,0.0011158080101013183,0.001122431993484497,-0.03365491761211384,0.016231443910262704,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,12,24,236,44,42,complex64,16,42,0.04215871499991408,30664.0,128.0,1,0.0007313920259475708,0.0004915840029716492,0.0004867199957370758,0.0005050560235977172,0.01848241500556469,-0.0027926568873226643,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,12,24,236,44,42,complex128,16,42,0.04135420600005091,30664.0,128.0,1,0.0018304959535598755,0.0016889599561691283,0.0016862080097198486,0.001696992039680481,0.01848241551567477,-0.002792657615397448,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,16,24,316,60,42,complex64,16,42,0.05620726500001183,47848.0,128.0,1,0.000858784019947052,0.0006513919830322266,0.0006481279730796814,0.0006604800224304199,0.0018301352392882109,0.0009555763681419194,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,16,24,316,60,42,complex128,16,42,0.05392857900005765,47848.0,128.0,1,0.002417759895324707,0.0022582080364227297,0.002255295991897583,0.0022668159008026123,0.0018301347576513663,0.0009555772240780569,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,20,24,396,76,42,complex64,16,42,0.07041556799958926,63480.0,128.0,1,0.0011118719577789308,0.0008203840255737305,0.0008164479732513428,0.0008315839767456055,3.2300518796546385e-05,-0.0001522804523119703,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,20,24,396,76,42,complex128,16,42,0.06804340100006812,63480.0,128.0,1,0.0029883201122283937,0.002829535961151123,0.002825407981872559,0.002841504096984863,3.2300519893781325e-05,-0.00015228059275937481,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,8,15,36,28,42,complex64,16,42,0.014193612999861216,7744.0,64.0,1,0.00027622398734092714,0.0001101439967751503,0.00010937599837779999,0.00011753600090742112,0.062499988824129105,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,8,15,36,28,42,complex128,16,42,0.01336094199996296,7744.0,64.0,1,0.0004983040094375611,0.0003481279909610748,0.0003460800051689148,0.0003521600067615509,0.06249999999999996,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,12,23,78,66,42,complex64,16,42,0.037607454999943,137792.0,1024.0,1,0.010922080039978027,0.00022015999257564545,0.00021699200570583343,0.00023478400707244873,0.015624996274709702,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,12,23,78,66,42,complex128,16,42,0.04392025500010277,137792.0,1024.0,1,0.0056746239662170414,0.0008140159845352173,0.0008117120265960693,0.0008194559812545777,0.015624999999999984,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,16,31,136,120,42,complex64,16,42,0.16730779099998472,1766032.0,8192.0,1,0.002999743938446045,0.0004230720102787018,0.0004185599982738495,0.00042953601479530333,0.0039062481373548508,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,16,31,136,120,42,complex128,16,42,0.3098492829999486,1766032.0,8192.0,1,0.005026303768157959,0.0018152639865875245,0.0018138879537582398,0.0018239680528640747,0.0039062499999999952,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,20,39,210,190,42,complex64,16,42,0.27090325100016344,56768432.0,65536.0,1,0.005953120231628418,0.0006889600157737732,0.0006863679885864257,0.0006997119784355163,0.0009765619761310518,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qft,full,20,39,210,190,42,complex128,16,42,0.3272171849998813,56768432.0,65536.0,1,0.007735072135925293,0.0032275838851928713,0.003222879886627197,0.003238591909408569,0.0009765624999999983,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
