status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,candidate_plan,candidate_plan_source,operand_count,memory_limit,precision,path_optimization_s,pre_run_runtime_est_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,12,40,84,36,42,left_fold,explicit deterministic einsum path,108,70%,complex64,0.016628549999950337,,416718836240.0,16777216.0,1,0.08027830505371093,0.08281919860839844,0.08255113220214844,0.08352652740478515,0.004919958300888538,-0.00055912253446877,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,12,40,84,36,42,right_fold,explicit deterministic einsum path,108,70%,complex64,0.010846739000044181,,1990648.0,4096.0,1,0.0005366399884223938,0.00036950400471687315,0.00036531201004981993,0.0004454399943351746,0.004920030478388071,-0.0005591484950855374,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,8,24,156,28,42,native_time_tuned,cuTensorNet TIME_TUNED,172,70%,complex64,0.025660323000010976,0.00171001881425,15592.0,128.0,1,0.000515999972820282,0.0003261440098285675,0.0003234240114688873,0.0003312959969043732,-0.03365489840507507,0.016231447458267212,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,8,24,156,28,42,left_fold,explicit deterministic einsum path,172,70%,complex64,0.026376506999895355,,275747584.0,65536.0,1,0.0011209280490875244,0.000573248028755188,0.000568448007106781,0.0005830720067024231,-0.03365491330623627,0.016231438145041466,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,8,24,156,28,42,right_fold,explicit deterministic einsum path,172,70%,complex64,0.01684937699974398,,189944.0,256.0,1,0.0004953280091285706,0.00036447998881340026,0.00036083200573921206,0.00036768001317977905,-0.033654920756816864,0.016231423243880272,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,10,24,196,36,42,native_time_tuned,cuTensorNet TIME_TUNED,216,70%,complex64,0.03122826399976475,0.00215002589925,24144.0,128.0,1,0.0006630399823188782,0.0004075520038604736,0.0004042240083217621,0.0004138239920139313,-0.005335611291229725,-0.040535349398851395,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,10,24,196,36,42,left_fold,explicit deterministic einsum path,216,70%,complex64,0.032107730000006995,,16471732312.0,1048576.0,1,0.004124063968658448,0.0037844479084014893,0.0037583680152893065,0.003787231922149658,-0.005335591267794371,-0.04053530842065811,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,10,24,196,36,42,right_fold,explicit deterministic einsum path,216,70%,complex64,0.02208285500000784,,956408.0,1024.0,1,0.0009130880236625672,0.000736191987991333,0.000733024001121521,0.0007385920286178589,-0.005335609894245863,-0.0405353307723999,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,12,24,236,44,42,native_time_tuned,cuTensorNet TIME_TUNED,260,70%,complex64,0.042423338999924454,0.00259003441425,30664.0,128.0,1,0.0007108799815177917,0.00048825600743293763,0.0004827840030193329,0.0005132480263710022,0.01848241500556469,-0.0027926568873226643,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,random_brickwork,layers_8,12,24,236,44,42,left_fold,explicit deterministic einsum path,260,70%,complex64,0.03969624000001204,,573929335728.0,16777216.0,1,0.1122064971923828,0.11531561279296874,0.11463849639892579,0.11605302429199219,0.01848239079117775,-0.002792646177113056,NVIDIA GeForce RTX 5070 Ti,12.0
