status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,20,24,396,76,137,complex64,16,42,0.07352076600000146,62960.0,256.0,1,0.0011272640228271484,0.0008367360234260559,0.0008325759768486023,0.0008554880023002625,0.0001004787627607584,-0.00036674432340078056,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,20,24,396,76,137,complex128,16,42,0.07166454399975919,62960.0,256.0,1,0.003037503957748413,0.002834239959716797,0.002831520080566406,0.0028582079410552977,0.00010047841469631812,-0.000366744543313212,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,8,28,56,24,137,complex64,16,42,0.01691676800055575,8920.0,64.0,1,0.0003421120047569275,0.00015014399588108063,0.00014880000054836275,0.00015657599270343781,0.021906323730945587,-0.017002888023853302,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,8,28,56,24,137,complex128,16,42,0.01619740800015279,8920.0,64.0,1,0.0006059520244598389,0.0004761280119419098,0.00047411200404167173,0.0004792959988117218,0.02190632873334057,-0.017002907277784834,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,8,55,104,48,137,complex64,16,42,0.030780328999753692,171096.0,1024.0,1,0.011964960098266602,0.00027430400252342223,0.0002721599936485291,0.0002823039889335632,0.0018329245503991842,0.004015626385807991,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,8,55,104,48,137,complex128,16,42,0.08669120400008978,171096.0,1024.0,1,0.0034457600116729738,0.0010206400156021118,0.0010174720287323,0.0010237760543823243,0.0018329275752461416,0.004015620381214183,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,12,40,84,36,137,complex64,16,42,0.021062705000076676,15160.0,64.0,1,0.0003781439960002899,0.00021180799603462219,0.00021091200411319733,0.00022064000368118286,0.004920051433146,-0.0005591330118477345,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,12,40,84,36,137,complex128,16,42,0.020485263999944436,15160.0,64.0,1,0.0008575999736785888,0.0007109439969062805,0.0007082239985466003,0.0007132800221443176,0.004920052176855136,-0.0005591371083518486,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,12,79,156,72,137,complex64,16,42,0.08852792900052009,4662920.0,32768.0,1,0.005615968227386475,0.0004163199961185455,0.0004150719940662384,0.0004230400025844574,-0.0007337225251831114,-0.0007007169770076871,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,12,79,156,72,137,complex128,16,42,0.20173065800008771,4662920.0,32768.0,1,0.004042719841003418,0.0018416320085525512,0.0018375680446624757,0.0018483200073242188,-0.0007337176486494961,-0.0007007143251294178,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,16,52,112,48,137,complex64,16,42,0.028211058000124467,20952.0,64.0,1,0.00043536001443862914,0.0002772800028324127,0.0002741760015487671,0.00028249600529670717,0.0004299232386983931,-0.00018647039541974664,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,16,52,112,48,137,complex128,16,42,0.027334137999787345,20952.0,64.0,1,0.0011017600297927857,0.0009439359903335572,0.0009420480132102966,0.000947327971458435,0.0004299233298006396,-0.00018647129790239328,NVIDIA GeForce RTX 5070 Ti,12.0
