family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,complex64_median_s,complex128_median_s,complex128_over_complex64_time_ratio,absolute_scalar_difference,relative_scalar_difference
qaoa_cycle,p_3,1.0,8,42,0.00015104000270366668,0.00047702398896217347,3.1582625822516164,1.989316050898201e-08,7.173722014020719e-07
qaoa_cycle,p_6,2.0,12,137,0.0004163199961185455,0.0018416320085525512,4.423597294683279,5.550949329265263e-09,5.4712603836075145e-06
qaoa_cycle,p_6,2.0,16,137,0.000517408013343811,0.001991104006767273,3.848228004625452,6.153432368560477e-11,8.635493020647486e-07
qaoa_cycle,p_6,2.0,20,137,0.0006667199730873108,0.0028339519500732422,4.250588049658023,1.2122879873989365e-11,4.7501859576787695e-06
qaoa_cycle,p_6,2.0,8,137,0.00027430400252342223,0.0010206400156021118,3.7208353002977472,6.723454909326895e-09,1.5231552792273152e-06
qft,full,1.0,12,137,0.00021782399713993073,0.0008139839768409729,3.7368884398814304,3.7252902828494028e-09,2.3841857810236202e-07
qft,full,1.0,12,42,0.00022015999257564545,0.0008140159845352173,3.6973837753720264,3.7252902828494028e-09,2.3841857810236202e-07
qft,full,1.0,16,137,0.0004259519875049591,0.0018170239925384521,4.265795314588825,1.8626451444604675e-09,4.7683715698188026e-07
qft,full,1.0,16,42,0.0004230720102787018,0.0018152639865875245,4.290673791895866,1.8626451444604675e-09,4.7683715698188026e-07
qft,full,1.0,20,137,0.000692192018032074,0.003225759983062744,4.660209738092172,5.238689464864832e-10,5.364418012021597e-07
qft,full,1.0,20,42,0.0006889600157737732,0.0032275838851928713,4.684718722853548,5.238689464864832e-10,5.364418012021597e-07
qft,full,1.0,8,137,0.00011343999952077865,0.00034915199875831603,3.077856137458484,1.1175870853752379e-08,1.7881393366003817e-07
qft,full,1.0,8,42,0.0001101439967751503,0.0003481279909610748,3.1606624160529493,1.1175870853752379e-08,1.7881393366003817e-07
random_brickwork,layers_16,2.0,12,137,0.0010143040418624878,0.0038290879726409913,3.7750889423746496,1.6490172406107722e-08,5.271669700280333e-07
random_brickwork,layers_16,2.0,16,137,0.0013609919548034667,0.005210400104522705,3.828384206191072,5.093282827092429e-09,7.420944371737088e-07
random_brickwork,layers_16,2.0,20,137,0.0016974079608917236,0.00672495985031128,3.961899558181853,1.008760579641206e-09,1.3716867959538017e-06
random_brickwork,layers_16,2.0,8,137,0.0006304320096969605,0.0022095038890838623,3.5047457221373306,3.1860990722236546e-08,7.526991404183562e-07
random_brickwork,layers_8,1.0,12,137,0.0004930559992790222,0.0016902079582214356,3.428024323186342,1.4264031543283246e-09,7.468451428519191e-07
