split,fold,family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,actual_safe_complex64,predicted_safe_probability,selected_precision,relative_scalar_difference,selected_seconds
family_held_out,0,ghz,chain,1.0,20.0,42,True,0.3840129756894124,complex128,1.7114270947149224e-08,0.00039686399698257447
family_held_out,1,hea,layers_4,1.0,8.0,42,False,0.8708875349007293,complex64,8.823523001129403e-07,0.00018665599822998048
family_held_out,1,hea,layers_4,1.0,12.0,42,True,0.8093150606014897,complex64,2.575715153812633e-07,0.00027452799677848814
family_held_out,1,hea,layers_4,1.0,16.0,42,True,0.7753963684273246,complex128,4.6492174407904526e-07,0.0012336640357971192
family_held_out,1,hea,layers_4,1.0,20.0,42,False,0.6096592391201612,complex128,5.950704182886217e-07,0.0015393279790878295
family_held_out,2,qaoa_cycle,p_3,1.0,8.0,42,False,0.7561956514339014,complex128,7.173722014020719e-07,0.00047702398896217347
family_held_out,2,qaoa_cycle,p_3,1.0,12.0,42,False,0.6587717418811218,complex128,8.408117964061954e-07,0.0007097600102424622
family_held_out,2,qaoa_cycle,p_3,1.0,16.0,42,False,0.6668847857000479,complex128,1.9356137762569014e-06,0.0009418879747390747
family_held_out,2,qaoa_cycle,p_3,1.0,20.0,42,False,0.5385332759565944,complex128,1.803382984211388e-06,0.0011763520240783692
family_held_out,4,random_brickwork,layers_8,1.0,8.0,42,False,0.6809165521978022,complex128,5.227405517167985e-07,0.0011181440353393555
family_held_out,4,random_brickwork,layers_8,1.0,12.0,42,True,0.545835789210789,complex128,4.75594498931929e-08,0.0016889599561691283
family_held_out,4,random_brickwork,layers_8,1.0,16.0,42,True,0.4708774558774557,complex128,4.757080736090146e-07,0.0022582080364227297
family_held_out,4,random_brickwork,layers_8,1.0,20.0,42,False,0.3282713050838052,complex128,9.022482436670435e-07,0.002829535961151123
family_held_out,3,qft,full,1.0,8.0,42,True,0.5406191627653184,complex128,1.7881393366003817e-07,0.0003481279909610748
family_held_out,3,qft,full,1.0,12.0,42,True,0.3295143901450963,complex128,2.3841857810236202e-07,0.0008140159845352173
family_held_out,3,qft,full,1.0,16.0,42,True,0.16541761051775292,complex128,4.7683715698188026e-07,0.0018152639865875245
family_held_out,3,qft,full,1.0,20.0,42,False,0.08466470418203288,complex128,5.364418012021597e-07,0.0032275838851928713
family_held_out,0,ghz,chain,1.0,8.0,137,True,0.4655710258973738,complex128,1.7114270947149224e-08,0.0001656000018119812
family_held_out,0,ghz,chain,1.0,12.0,137,True,0.5519359011531865,complex128,1.7114270947149224e-08,0.00024355199933052062
family_held_out,0,ghz,chain,1.0,16.0,137,True,0.5634395186036427,complex128,1.7114270947149224e-08,0.00031894400715827944
family_held_out,0,ghz,chain,1.0,20.0,137,True,0.3921060497407614,complex128,1.7114270947149224e-08,0.0003969919979572296
family_held_out,1,hea,layers_4,1.0,8.0,137,False,0.8124496206825051,complex64,8.823523001129403e-07,0.0001865919977426529
family_held_out,1,hea,layers_8,2.0,8.0,137,True,0.4747922059956052,complex128,1.6421825716612714e-07,0.00112009596824646
family_held_out,1,hea,layers_4,1.0,12.0,137,True,0.7488117309960088,complex128,2.575715153812633e-07,0.0009213759899139404
family_held_out,1,hea,layers_8,2.0,12.0,137,True,0.4651157695807699,complex128,1.9927706687431299e-07,0.0016902400255203248
family_held_out,1,hea,layers_4,1.0,16.0,137,True,0.7191933531444792,complex128,4.6492174407904526e-07,0.0012305279970169067
