compiler,architecture,device_label,circuit,logical_width,allocated_width,depth,total_ops,one_qubit_ops,two_qubit_ops,estimated_execution_seconds
sabre0330,heron,ibm_aachen,vqe16,16,156,150,450,420,30,3.467999999999998e-06
sabre0330,heron,ibm_aachen,vqe4,4,156,30,81,78,3,4.920000000000001e-07
sabre0330,heron,ibm_aachen,vqe8,8,156,46,190,180,10,9.039999999999998e-07
sqgm,eagle,ibm_sherbrooke,hamilsim16,16,127,352,1219,1141,78,2.525155555555562e-05
sqgm,eagle,ibm_sherbrooke,hamilsim32,32,127,710,6607,6167,440,5.326933333333321e-05
sqgm,eagle,ibm_sherbrooke,hamilsim4,4,127,63,127,121,6,4.053333333333332e-06
sqgm,eagle,ibm_sherbrooke,hamilsim8,8,127,132,319,299,20,1.071644444444444e-05
sqgm,eagle,ibm_sherbrooke,qaoa16,16,127,2351,13376,12434,942,0.0001728071111111108
sqgm,eagle,ibm_sherbrooke,qaoa4,4,127,205,350,332,18,1.2672e-05
sqgm,eagle,ibm_sherbrooke,qaoa8,8,127,850,2256,2107,149,5.971199999999979e-05
sqgm,eagle,ibm_sherbrooke,qft16,16,127,2033,8736,8145,591,0.0001413688888888886
sqgm,eagle,ibm_sherbrooke,qft32,32,127,3742,44728,41717,3011,0.0002637155555555543
sqgm,eagle,ibm_sherbrooke,qft4,4,127,171,282,264,18,1.198933333333333e-05
sqgm,eagle,ibm_sherbrooke,qft64,64,127,14093,230904,214818,16086,0.001059761777777869
sqgm,eagle,ibm_sherbrooke,qft8,8,127,638,1624,1517,107,4.357688888888886e-05
sqgm,eagle,ibm_sherbrooke,vqe16,16,127,246,1020,963,57,2.129777777777781e-05
sqgm,eagle,ibm_sherbrooke,vqe4,4,127,32,96,93,3,2.111999999999999e-06
sqgm,eagle,ibm_sherbrooke,vqe8,8,127,103,296,286,10,6.983111111111107e-06
sqgm,eagle,ibm_kyiv,hamilsim16,16,127,352,1219,1141,78,2.582755555555551e-05
sqgm,eagle,ibm_kyiv,hamilsim32,32,127,710,6607,6167,440,5.497599999999993e-05
sqgm,eagle,ibm_kyiv,hamilsim4,4,127,63,127,121,6,4.160000000000001e-06
sqgm,eagle,ibm_kyiv,hamilsim8,8,127,132,319,299,20,1.118577777777778e-05
sqgm,eagle,ibm_kyiv,qaoa16,16,127,2351,13376,12434,942,0.0001776355555555551
sqgm,eagle,ibm_kyiv,qaoa4,4,127,205,350,332,18,1.294933333333334e-05
sqgm,eagle,ibm_kyiv,qaoa8,8,127,850,2256,2107,149,6.122666666666653e-05
sqgm,eagle,ibm_kyiv,qft16,16,127,2033,8736,8145,591,0.0001449031111111115
sqgm,eagle,ibm_kyiv,qft32,32,127,3742,44728,41717,3011,0.0002689066666666662
sqgm,eagle,ibm_kyiv,qft4,4,127,171,282,264,18,1.220266666666667e-05
sqgm,eagle,ibm_kyiv,qft64,64,127,14093,230904,214818,16086,0.001031751111111064
sqgm,eagle,ibm_kyiv,qft8,8,127,638,1624,1517,107,4.470755555555543e-05
