source,runtime_semantics,observation_unit,target_name,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_single_qubit_gate_count,logical_two_qubit_gate_count,precision,optimizer_cost_function,cutensornet_runtime_est_s,cutensornet_effective_flops_est,cutensornet_flop_count,cutensornet_largest_intermediate_elements,cutensornet_num_slices,tensor_network_build_s,path_optimization_s,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_mean_s,contract_gpu_min_s,contract_gpu_max_s,contract_gpu_stdev_s,end_to_end_first_s,warmups,repeats,seed,gpu_name,gpu_compute_capability,gpu_memory_bytes,feasibility_status,cell_timeout_s
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_2,0.5,2,16,35,80,48,32,complex64,TIME_TUNED,0.00111001078025,22200215605.0,6104.0,32.0,1,0.02397555400057172,0.017812672999752976,0.0022044479846954346,0.00024457600712776185,0.00024513280391693114,0.00024214400351047516,0.00024825599789619446,2.9254698780870186e-06,0.29917569098506647,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_3,1.0,3,16,52,112,64,48,complex64,TIME_TUNED,0.00143002305225,28600461045.0,20952.0,64.0,1,0.02669525999954203,0.028566680000039923,0.0023924479484558107,0.00032729598879814147,0.0003438784003257752,0.0003197759985923767,0.00041712000966072084,4.1114398156836345e-05,0.3089135059482724,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_6,2.0,6,16,103,208,112,96,complex64,TIME_TUNED,0.00239044487449,47808897489.8,3883912.0,16384.0,1,0.04020460500032641,0.1350816569993185,0.010012639999389648,0.0005282559990882874,0.0005460863947868347,0.0005256320238113403,0.0005814399719238281,2.650983468325322e-05,0.4374655769989331,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_2,0.5,2,20,43,100,60,40,complex64,TIME_TUNED,0.00139001353625,27800270725.0,7672.0,32.0,1,0.029114515000401298,0.022443564000241167,0.0021453120708465577,0.0003116480112075806,0.0003110080003738404,0.0003079679906368256,0.0003124159872531891,1.8414624651764789e-06,0.3064094310712826,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_3,1.0,3,20,64,140,80,60,complex64,TIME_TUNED,0.00179002950025,35800590005.0,27192.0,64.0,1,0.02612075199976971,0.034654375999707554,0.0022234880924224855,0.0003715200126171112,0.00038153600096702575,0.00032175999879837037,0.0004819520115852356,6.155793901151498e-05,0.3137235970924303,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_6,2.0,6,20,127,260,140,120,complex64,TIME_TUNED,0.00299047618025,59809523605.0,3399176.0,8192.0,1,0.029224480999801017,0.1845209769999201,0.02254198455810547,0.0006790720224380493,0.0006907200098037719,0.0006745280027389526,0.0007333760261535644,2.4441316619976055e-05,0.4940472275582433,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_2,0.5,2,24,51,120,72,48,complex64,TIME_TUNED,0.00167001634425,33400326885.0,9256.0,32.0,1,0.02506142699985503,0.024256777000118745,0.0022465600967407225,0.0003629440069198608,0.0003567552030086517,0.00033606401085853576,0.00036604800820350645,1.2444266564584223e-05,0.30587885509691115,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_3,1.0,3,24,76,168,96,72,complex64,TIME_TUNED,0.00215003594825,43000718965.0,33432.0,64.0,1,0.02687144600076863,0.0482626139992135,0.002303904056549072,0.0004737919867038727,0.0005095936059951782,0.0004308800101280212,0.0006561599969863892,8.839099841229117e-05,0.3326767940565842,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_6,2.0,6,24,151,312,168,144,complex64,TIME_TUNED,0.00359058387225,71811677445.0,4528104.0,8192.0,1,0.030522431000463257,0.1998542080000334,0.021432640075683594,0.0008383359909057617,0.0008449983954429627,0.0008284479975700378,0.000864031970500946,1.538412559723754e-05,0.5106252260758556,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_2,0.5,2,28,59,140,84,56,complex64,TIME_TUNED,0.00195001904825,39000380965.0,10808.0,32.0,1,0.026740367999991577,0.029612794000058784,0.0023142399787902833,0.00042793598771095274,0.0004190400004386902,0.00039004799723625183,0.00043833601474761963,2.1894605812413432e-05,0.31044022097843843,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
