family,n_qubits,rows,cols,dt_ns,precision,target_fidelity,pulse_duration_ns,pulse_segments,amplitude_max,amplitude_mean,detuning_max_abs,detuning_mean,rung,fidelity,reached_target,observed_max_chi,peak_rss_mb,step_seconds,wall_seconds,reference_max_chi,reference_wall_seconds
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,1,0.18604594041914935,False,1,11.616256,5.875866413116455,5.904163799001253,29,29.129941836999933
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,2,0.15803269936392345,False,2,11.616256,14.702787637710571,14.733124501999555,29,29.129941836999933
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,4,0.2977210306947207,False,4,11.616256,19.435341835021973,19.465966954998294,29,29.129941836999933
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,8,0.7325666189830744,False,8,11.616256,22.896615028381348,22.927550101001543,29,29.129941836999933
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,16,0.9999999172725932,True,16,11.616256,26.13396453857422,26.164728748000925,29,29.129941836999933
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,1,0.04565355242817399,False,1,17.486335999999998,8.18388819694519,8.2152207729996,60,49.20160548200147
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,2,0.05108253336860776,False,2,17.486335999999998,20.667327880859375,20.70021951200033,60,49.20160548200147
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,4,0.1693874532835894,False,4,17.486335999999998,27.095285892486572,27.128964382998674,60,49.20160548200147
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,8,0.6699904850219384,False,8,17.486335999999998,32.93294358253479,32.96660403200076,60,49.20160548200147
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,16,0.9747928790435534,False,16,17.486335999999998,38.241122245788574,38.275230866998754,60,49.20160548200147
