circuit_id,family,source_file,source_sha256,backend_class,backend_name,optimization_level,shots,seed_transpiler,seed_simulator,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,physical_width,physical_depth,physical_ops,physical_two_qubit_ops,swap_count,dag_node_count,t_transpile_s,t_exec_s,t_total_s,status,error
qaoa::qaoa_indep_qiskit_8,qaoa,data/quantum_circuits/qaoa_indep_qiskit_8.qasm,0a43c652a1c92c83389d952438c22aa0d890a611333da29499d6ff1733925b21,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,9,49,16,127,40,179,50,0,179,0.00969226599954709,0.6452328399991529,0.6549251059987,ok,
qaoa::qaoa_indep_qiskit_8,qaoa,data/quantum_circuits/qaoa_indep_qiskit_8.qasm,0a43c652a1c92c83389d952438c22aa0d890a611333da29499d6ff1733925b21,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,9,49,16,127,40,175,50,0,175,0.012040372001138167,0.5348778839997976,0.5469182560009358,ok,
qaoa::qaoa_indep_qiskit_8,qaoa,data/quantum_circuits/qaoa_indep_qiskit_8.qasm,0a43c652a1c92c83389d952438c22aa0d890a611333da29499d6ff1733925b21,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,9,49,16,127,40,175,50,0,175,0.01331675199980964,0.6400294369996118,0.6533461889994214,ok,
qft::qft_indep_qiskit_8,qft,data/quantum_circuits/qft_indep_qiskit_8.qasm,e4664972befc3ffed396f3842bf910be22c2fbe7f293d3c295b971dfe094d398,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,17,49,32,127,138,299,182,0,299,0.0056729180014372105,0.9561956100005773,0.9618685280020145,ok,
qft::qft_indep_qiskit_8,qft,data/quantum_circuits/qft_indep_qiskit_8.qasm,e4664972befc3ffed396f3842bf910be22c2fbe7f293d3c295b971dfe094d398,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,17,49,32,127,129,261,152,0,261,0.009598069000276155,0.6298586439988867,0.6394567129991628,ok,
qft::qft_indep_qiskit_8,qft,data/quantum_circuits/qft_indep_qiskit_8.qasm,e4664972befc3ffed396f3842bf910be22c2fbe7f293d3c295b971dfe094d398,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,17,49,32,127,112,243,100,0,243,0.01232969500051695,0.5390654540005926,0.5513951490011095,ok,
qft::qft_indep_qiskit_8,qft,data/quantum_circuits/qft_indep_qiskit_8.qasm,e4664972befc3ffed396f3842bf910be22c2fbe7f293d3c295b971dfe094d398,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,17,49,32,127,104,258,97,0,258,0.011730079000699334,0.6308549450004648,0.6425850240011641,ok,
qftentangled::qftentangled_indep_qiskit_8,qftentangled,data/quantum_circuits/qftentangled_indep_qiskit_8.qasm,8711737782301f568af1980707e62c989655488357aa858d6c63bb8e206ae4fc,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,19,57,39,127,142,309,189,0,309,0.0060580860008485615,0.543610083999738,0.5496681700005865,ok,
qftentangled::qftentangled_indep_qiskit_8,qftentangled,data/quantum_circuits/qftentangled_indep_qiskit_8.qasm,8711737782301f568af1980707e62c989655488357aa858d6c63bb8e206ae4fc,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,19,57,39,127,156,265,153,0,265,0.00875251700017543,1.1847810359995492,1.1935335529997246,ok,
qftentangled::qftentangled_indep_qiskit_8,qftentangled,data/quantum_circuits/qftentangled_indep_qiskit_8.qasm,8711737782301f568af1980707e62c989655488357aa858d6c63bb8e206ae4fc,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,19,57,39,127,149,257,108,0,257,0.012876458000391722,0.9936686300006841,1.0065450880010758,ok,
qftentangled::qftentangled_indep_qiskit_8,qftentangled,data/quantum_circuits/qftentangled_indep_qiskit_8.qasm,8711737782301f568af1980707e62c989655488357aa858d6c63bb8e206ae4fc,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,19,57,39,127,149,257,108,0,257,0.013543994000428938,0.6326599179992627,0.6462039119996916,ok,
qnn::qnn_indep_qiskit_8,qnn,data/quantum_circuits/qnn_indep_qiskit_8.qasm,f76953672a13f3e92397fe3586ff6557882560261e995147a67b931d701c7fcf,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,75,216,119,127,229,498,305,0,498,0.00514565599951311,0.5780130599996482,0.5831587159991614,ok,
qnn::qnn_indep_qiskit_8,qnn,data/quantum_circuits/qnn_indep_qiskit_8.qasm,f76953672a13f3e92397fe3586ff6557882560261e995147a67b931d701c7fcf,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,75,216,119,127,261,440,263,0,440,0.009225002000675886,0.6635124479998922,0.6727374500005681,ok,
qnn::qnn_indep_qiskit_8,qnn,data/quantum_circuits/qnn_indep_qiskit_8.qasm,f76953672a13f3e92397fe3586ff6557882560261e995147a67b931d701c7fcf,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,75,216,119,127,232,448,204,0,448,0.01174943399928452,0.5597526710007514,0.571502105000036,ok,
qnn::qnn_indep_qiskit_8,qnn,data/quantum_circuits/qnn_indep_qiskit_8.qasm,f76953672a13f3e92397fe3586ff6557882560261e995147a67b931d701c7fcf,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,75,216,119,127,232,448,204,0,448,0.015108655999938492,1.5215212540006178,1.5366299100005563,ok,
qpeexact::qpeexact_indep_qiskit_8,qpeexact,data/quantum_circuits/qpeexact_indep_qiskit_8.qasm,5d3cc38ff0e2b9054c927b6309c6a8dfaba491733eab08b06cc06f2d333da23d,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,23,54,31,127,197,344,209,0,344,0.00579989600009867,0.5636770740002248,0.5694769700003235,ok,
qpeexact::qpeexact_indep_qiskit_8,qpeexact,data/quantum_circuits/qpeexact_indep_qiskit_8.qasm,5d3cc38ff0e2b9054c927b6309c6a8dfaba491733eab08b06cc06f2d333da23d,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,23,54,31,127,157,269,134,0,269,0.008675903000039398,0.6482263109992346,0.656902213999274,ok,
qpeexact::qpeexact_indep_qiskit_8,qpeexact,data/quantum_circuits/qpeexact_indep_qiskit_8.qasm,5d3cc38ff0e2b9054c927b6309c6a8dfaba491733eab08b06cc06f2d333da23d,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,23,54,31,127,136,287,90,0,287,0.013351241999771446,0.5411650089990871,0.5545162509988586,ok,
qpeexact::qpeexact_indep_qiskit_8,qpeexact,data/quantum_circuits/qpeexact_indep_qiskit_8.qasm,5d3cc38ff0e2b9054c927b6309c6a8dfaba491733eab08b06cc06f2d333da23d,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,23,54,31,127,136,287,90,0,287,0.012626043000636855,0.6225691259987798,0.6351951689994166,ok,
qpeinexact::qpeinexact_indep_qiskit_8,qpeinexact,data/quantum_circuits/qpeinexact_indep_qiskit_8.qasm,82da8e687716ed31c95e72560edb07e7f6073a5be0f5ebffb17d22aff22c81fd,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,23,54,31,127,197,344,209,0,344,0.005381556999054737,0.6526105559987627,0.6579921129978175,ok,
qpeinexact::qpeinexact_indep_qiskit_8,qpeinexact,data/quantum_circuits/qpeinexact_indep_qiskit_8.qasm,82da8e687716ed31c95e72560edb07e7f6073a5be0f5ebffb17d22aff22c81fd,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,23,54,31,127,157,269,134,0,269,0.007968076000906876,0.5576280690002022,0.5655961450011091,ok,
qpeinexact::qpeinexact_indep_qiskit_8,qpeinexact,data/quantum_circuits/qpeinexact_indep_qiskit_8.qasm,82da8e687716ed31c95e72560edb07e7f6073a5be0f5ebffb17d22aff22c81fd,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,23,54,31,127,137,281,91,0,281,0.009230396999555524,0.7758094920009171,0.7850398890004726,ok,
qpeinexact::qpeinexact_indep_qiskit_8,qpeinexact,data/quantum_circuits/qpeinexact_indep_qiskit_8.qasm,82da8e687716ed31c95e72560edb07e7f6073a5be0f5ebffb17d22aff22c81fd,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,23,54,31,127,137,281,91,0,281,0.011770070999773452,0.5389278839993494,0.5506979549991229,ok,
