model,circuit_id,oracle_context,selected_context,oracle_seconds,selected_actual_seconds,selection_regret_seconds,selection_regret_ratio,exact_fastest
graph_hgb,414ab4f33dc086ce87a0ac5972cbd37cb1b9e7860da637e12ee92c5d5c4bacf5,cuda:complex64,cuda:complex64,0.0126748719994793,0.0126748719994793,0.0,1.0,True
graph_hgb,431eb41aa219b9e4545c902a6fba92e5692db5069182161032a3279698ea91ad,cuda:complex64,cuda:complex64,0.342520043006516,0.342520043006516,0.0,1.0,True
graph_hgb,43458181c027c1f259511b6a5fea16fe16c646f3efaa19677accf8aeccbc8858,cuda:complex64,cuda:complex64,0.3665903719956986,0.3665903719956986,0.0,1.0,True
graph_hgb,44955b9ecacab75d09e69dcbed5726d8a9ac76d174cc5add90a6478b22ffd1ec,cuda:complex64,cuda:complex64,0.1886458990047685,0.1886458990047685,0.0,1.0,True
graph_hgb,45a6c1c99081e97f2b7fe74b89f17d781c9be407f6a9fe69b371fc35969e8453,cuda:complex64,cuda:complex64,0.0011870710004586,0.0011870710004586,0.0,1.0,True
graph_hgb,4899e112b66bf7428549c0e40a29f755def24d0708f4f1bc51fe82ec3b70d392,cuda:complex64,cuda:complex64,0.0032515370039618,0.0032515370039618,0.0,1.0,True
graph_hgb,48d2931050144fbb63f5da7483cef63316e3fb6f91cd372fb38cca257848e356,cuda:complex64,cuda:complex64,0.3667628090042854,0.3667628090042854,0.0,1.0,True
graph_hgb,4dc21b03b5e6a8c899a52bd588c0d5de027631392a9d253654c00cb16bdb9dc0,cuda:complex64,cuda:complex64,0.0165704600003664,0.0165704600003664,0.0,1.0,True
graph_hgb,5a4bfed6ae3198c7cedc7d83166744357c62c06dbac37ef70300cbbe26ff97aa,cuda:complex64,cuda:complex64,0.0018195759985246,0.0018195759985246,0.0,1.0,True
graph_hgb,5c47a83cca54ad995e1615e191235d906aba41d36e394d88a0862fbbe77b162a,cuda:complex64,cuda:complex64,0.734370113001205,0.734370113001205,0.0,1.0,True
graph_hgb,63228b19f33d69eb54c7bb0873080a75f21e6ad90f23eed405f06933d275817a,cuda:complex64,cuda:complex64,0.0077923260032548,0.0077923260032548,0.0,1.0,True
graph_hgb,652735bf460fb68ebafd4986bad0723eaec6d253a80e01474366b7f17f4e10b7,cuda:complex64,cuda:complex64,0.001920021000842,0.001920021000842,0.0,1.0,True
